TEXT,cEXT,cNEU,cAGR,cCON,cOPN
My desk is chaos where creativity blooms Optimism anchors me against dark currents Abstract ideas glitter brighter than gold I value honesty above fragile feelings I thrive when surrounded by lively conversations,y,n,n,n,y
Formality suffocates my freeform workflow Long talks exhaust me faster than a night run I’d rather make peace than score points Books on quantum poetry excite me Tiny worries grow into forests in my head,n,y,y,n,y
Optimism anchors me against dark currents I finish tasks before they have time to worry me Small talk drains my battery to red I offer smiles as default greetings Books on quantum poetry excite me,n,n,y,y,y
I finish tasks before they have time to worry me Crowds blur my thoughts; I prefer one deep voice Competition tastes sweeter than compromise I catch storms of doubt over clear skies Practical solutions beat abstract theories,n,y,n,y,n
"Competition tastes sweeter than compromise I rely on proven methods, not wild notions My desk is chaos where creativity blooms Stress lingers even in calm rooms I thrive when surrounded by lively conversations",y,y,n,n,n
"I listen first, judge later, if ever I process setbacks, then move forward Practical solutions beat abstract theories Crowds blur my thoughts; I prefer one deep voice I finish tasks before they have time to worry me",n,n,y,y,n
Abstract ideas glitter brighter than gold Calendars and lists guide my every sunrise I catch storms of doubt over clear skies Crowds blur my thoughts; I prefer one deep voice Being right matters more than being liked,n,y,n,y,y
"After social storms, I retreat into books Punctuality is my silent love language I value honesty above fragile feelings Mood swings arrive without invitation or warning I chase new experiences like constellations",n,y,n,y,y
Punctuality is my silent love language Small talk drains my battery to red I question every rule before following Mood swings arrive without invitation or warning Gentle words soften the hardest debates,n,y,y,y,y
Worry rarely finds a foothold in my mind Crowds blur my thoughts; I prefer one deep voice I collect perspectives the way others collect stamps Order calms me like deep breathing Kindness feels like common sense in motion,n,n,y,y,y
Quiet corners are my favourite kingdoms I finish tasks before they have time to worry me Debates are battles I aim to win My mood is a calm lake at dawn Tradition steadies my steps like a familiar song,n,n,n,y,n
I prefer facts over fantasies Anxiety knots itself around my late‑night thoughts Competition tastes sweeter than compromise Crowded rooms charge my spirit like electricity I finish tasks before they have time to worry me,y,y,n,y,n
Deadlines bend to my last‑minute miracles I collect perspectives the way others collect stamps Crowds blur my thoughts; I prefer one deep voice Debates are battles I aim to win Stress slides off me like rain on glass,n,n,n,n,y
I catch storms of doubt over clear skies Being right matters more than being liked Abstract ideas glitter brighter than gold Small talk drains my battery to red Deadlines bend to my last‑minute miracles,n,y,n,n,y
"I breathe evenly through most tempests I double‑check locks, lights, and lines of code Silence bores me; I chase the next social spark Books on quantum poetry excite me Kindness feels like common sense in motion",y,n,y,y,y
"My mood is a calm lake at dawn Crowds blur my thoughts; I prefer one deep voice I finish tasks before they have time to worry me Gentle words soften the hardest debates I rely on proven methods, not wild notions",n,n,y,y,n
"Abstract ideas glitter brighter than gold Kindness feels like common sense in motion Spontaneity steers my daily map I process setbacks, then move forward I talk my ideas into existence with anyone nearby",y,n,y,n,y
Stress lingers even in calm rooms Debates are battles I aim to win Order calms me like deep breathing Abstract ideas glitter brighter than gold Quiet corners are my favourite kingdoms,n,y,n,y,y
"Stress slides off me like rain on glass I chase new experiences like constellations After social storms, I retreat into books I lose track of time when ideas spark Gentle words soften the hardest debates",n,n,y,n,y
Meeting new faces feels like opening surprise gifts I value honesty above fragile feelings Practical solutions beat abstract theories Deadlines bend to my last‑minute miracles Mood swings arrive without invitation or warning,y,y,n,n,n
Long talks exhaust me faster than a night run My desk is chaos where creativity blooms I prefer facts over fantasies I speak blunt truths even if they cut Mood swings arrive without invitation or warning,n,y,n,n,n
Spontaneity steers my daily map Practical solutions beat abstract theories Sarcasm is my native dialect Long talks exhaust me faster than a night run Anxiety knots itself around my late‑night thoughts,n,y,n,n,n
"Spontaneity steers my daily map Silence bores me; I chase the next social spark I chase new experiences like constellations I process setbacks, then move forward I listen first, judge later, if ever",y,n,y,n,y
Meeting new faces feels like opening surprise gifts Helping others paints colour into my day Practical solutions beat abstract theories Order calms me like deep breathing Optimism anchors me against dark currents,y,n,y,y,n
Order calms me like deep breathing My mood is a calm lake at dawn Crowded rooms charge my spirit like electricity Being right matters more than being liked Fiction rarely appeals compared to manuals,y,n,n,y,n
I offer smiles as default greetings Deadlines bend to my last‑minute miracles I prefer facts over fantasies Optimism anchors me against dark currents Crowds blur my thoughts; I prefer one deep voice,n,n,y,n,n
I lose track of time when ideas spark I value honesty above fragile feelings My mood is a calm lake at dawn I chase new experiences like constellations Quiet corners are my favourite kingdoms,n,n,n,n,y
"Stress slides off me like rain on glass Parties feel like home turf where I refuel Plans are suggestions, not iron gates Helping others paints colour into my day Art museums feel like playgrounds",y,n,y,n,y
"After social storms, I retreat into books Deadlines feel like friendly checkpoints Tiny worries grow into forests in my head Gentle words soften the hardest debates I chase new experiences like constellations",n,y,y,y,y
"I double‑check locks, lights, and lines of code I talk my ideas into existence with anyone nearby I chase new experiences like constellations Gentle words soften the hardest debates Anxiety knots itself around my late‑night thoughts",y,y,y,y,y
Competition tastes sweeter than compromise I question every rule before following Formality suffocates my freeform workflow Quiet corners are my favourite kingdoms Stress lingers even in calm rooms,n,y,n,n,y
Crowds blur my thoughts; I prefer one deep voice I chase new experiences like constellations I value honesty above fragile feelings I replay mistakes in my mind like scratched vinyl Punctuality is my silent love language,n,y,n,y,y
My desk is chaos where creativity blooms Silence bores me; I chase the next social spark Fiction rarely appeals compared to manuals I breathe evenly through most tempests Gentle words soften the hardest debates,y,n,y,n,n
"Gentle words soften the hardest debates I breathe evenly through most tempests Order calms me like deep breathing After social storms, I retreat into books Practical solutions beat abstract theories",n,n,y,y,n
"Plans are suggestions, not iron gates Helping others paints colour into my day Optimism anchors me against dark currents I chase new experiences like constellations Crowds blur my thoughts; I prefer one deep voice",n,n,y,n,y
Crowded rooms charge my spirit like electricity I prefer facts over fantasies I’d rather make peace than score points Order calms me like deep breathing Worry rarely finds a foothold in my mind,y,n,y,y,n
Long talks exhaust me faster than a night run I lose track of time when ideas spark Tiny worries grow into forests in my head Art museums feel like playgrounds Helping others paints colour into my day,n,y,y,n,y
My mood is a calm lake at dawn Small talk drains my battery to red I prefer facts over fantasies I lose track of time when ideas spark Being right matters more than being liked,n,n,n,n,n
Punctuality is my silent love language Worry rarely finds a foothold in my mind Meeting new faces feels like opening surprise gifts Competition tastes sweeter than compromise Abstract ideas glitter brighter than gold,y,n,n,y,y
I prefer facts over fantasies I catch storms of doubt over clear skies Helping others paints colour into my day Spontaneity steers my daily map Crowded rooms charge my spirit like electricity,y,y,y,n,n
"Order calms me like deep breathing I rely on proven methods, not wild notions Competition tastes sweeter than compromise Quiet corners are my favourite kingdoms I process setbacks, then move forward",n,n,n,y,n
"Silence bores me; I chase the next social spark Books on quantum poetry excite me I listen first, judge later, if ever Stress slides off me like rain on glass Deadlines bend to my last‑minute miracles",y,n,y,n,y
Worry rarely finds a foothold in my mind Crowds blur my thoughts; I prefer one deep voice I’d rather make peace than score points Order calms me like deep breathing Abstract ideas glitter brighter than gold,n,n,y,y,y
Tiny worries grow into forests in my head Change is interesting— from a safe distance I talk my ideas into existence with anyone nearby Calendars and lists guide my every sunrise Being right matters more than being liked,y,y,n,y,n
"I breathe evenly through most tempests I’d rather make peace than score points Plans are suggestions, not iron gates Abstract ideas glitter brighter than gold I thrive when surrounded by lively conversations",y,n,y,n,y
"Deadlines feel like friendly checkpoints I rely on proven methods, not wild notions Stress slides off me like rain on glass Crowded rooms charge my spirit like electricity I value honesty above fragile feelings",y,n,n,y,n
Debates are battles I aim to win Deadlines bend to my last‑minute miracles I chase new experiences like constellations I replay mistakes in my mind like scratched vinyl I thrive when surrounded by lively conversations,y,y,n,n,y
I talk my ideas into existence with anyone nearby Abstract ideas glitter brighter than gold Stress slides off me like rain on glass I offer smiles as default greetings Deadlines feel like friendly checkpoints,y,n,y,y,y
Quiet corners are my favourite kingdoms I speak blunt truths even if they cut Stress slides off me like rain on glass Books on quantum poetry excite me Deadlines feel like friendly checkpoints,n,n,n,y,y
"Change is interesting— from a safe distance Anxiety knots itself around my late‑night thoughts After social storms, I retreat into books Punctuality is my silent love language I’d rather make peace than score points",n,y,y,y,n
"I finish tasks before they have time to worry me Small talk drains my battery to red Gentle words soften the hardest debates Practical solutions beat abstract theories I process setbacks, then move forward",n,n,y,y,n
I collect perspectives the way others collect stamps Small talk drains my battery to red I offer smiles as default greetings Worry rarely finds a foothold in my mind My desk is chaos where creativity blooms,n,n,y,n,y
I thrive when surrounded by lively conversations Stress slides off me like rain on glass Abstract ideas glitter brighter than gold My desk is chaos where creativity blooms Gentle words soften the hardest debates,y,n,y,n,y
"Small talk drains my battery to red Deadlines bend to my last‑minute miracles I listen first, judge later, if ever My mood is a calm lake at dawn Practical solutions beat abstract theories",n,n,y,n,n
"Anxiety knots itself around my late‑night thoughts Calendars and lists guide my every sunrise Silence bores me; I chase the next social spark I rely on proven methods, not wild notions I speak blunt truths even if they cut",y,y,n,y,n
Stress lingers even in calm rooms Kindness feels like common sense in motion I lose track of time when ideas spark I question every rule before following Crowded rooms charge my spirit like electricity,y,y,y,n,y
Helping others paints colour into my day I breathe evenly through most tempests My desk is chaos where creativity blooms Art museums feel like playgrounds Crowded rooms charge my spirit like electricity,y,n,y,n,y
Deadlines bend to my last‑minute miracles I talk my ideas into existence with anyone nearby Change is interesting— from a safe distance Kindness feels like common sense in motion I breathe evenly through most tempests,y,n,y,n,n
My desk is chaos where creativity blooms I harvest energy from solitude and soft music Books on quantum poetry excite me Sarcasm is my native dialect I replay mistakes in my mind like scratched vinyl,n,y,n,n,y
I question every rule before following Spontaneity steers my daily map Competition tastes sweeter than compromise Crowds blur my thoughts; I prefer one deep voice Anxiety knots itself around my late‑night thoughts,n,y,n,n,y
"After social storms, I retreat into books I listen first, judge later, if ever My desk is chaos where creativity blooms I catch storms of doubt over clear skies I rely on proven methods, not wild notions",n,y,y,n,n
Sarcasm is my native dialect Art museums feel like playgrounds Meeting new faces feels like opening surprise gifts I catch storms of doubt over clear skies Spontaneity steers my daily map,y,y,n,n,y
I chase new experiences like constellations My desk is chaos where creativity blooms Silence bores me; I chase the next social spark Tiny worries grow into forests in my head Gentle words soften the hardest debates,y,y,y,n,y
Mood swings arrive without invitation or warning Helping others paints colour into my day Parties feel like home turf where I refuel Deadlines bend to my last‑minute miracles I question every rule before following,y,y,y,n,y
Parties feel like home turf where I refuel Abstract ideas glitter brighter than gold Helping others paints colour into my day My mood is a calm lake at dawn Calendars and lists guide my every sunrise,y,n,y,y,y
"I prefer facts over fantasies Mood swings arrive without invitation or warning Plans are suggestions, not iron gates Quiet corners are my favourite kingdoms Being right matters more than being liked",n,y,n,n,n
"Art museums feel like playgrounds Kindness feels like common sense in motion Parties feel like home turf where I refuel I process setbacks, then move forward Punctuality is my silent love language",y,n,y,y,y
Gentle words soften the hardest debates Crowded rooms charge my spirit like electricity Worry rarely finds a foothold in my mind Fiction rarely appeals compared to manuals Formality suffocates my freeform workflow,y,n,y,n,n
Order calms me like deep breathing Books on quantum poetry excite me Worry rarely finds a foothold in my mind I value honesty above fragile feelings I thrive when surrounded by lively conversations,y,n,n,y,y
"Optimism anchors me against dark currents I chase new experiences like constellations Formality suffocates my freeform workflow Competition tastes sweeter than compromise After social storms, I retreat into books",n,n,n,n,y
"Silence bores me; I chase the next social spark Punctuality is my silent love language I rely on proven methods, not wild notions I catch storms of doubt over clear skies Sarcasm is my native dialect",y,y,n,y,n
I prefer facts over fantasies Helping others paints colour into my day Worry rarely finds a foothold in my mind Calendars and lists guide my every sunrise Crowded rooms charge my spirit like electricity,y,n,y,y,n
"Small talk drains my battery to red Deadlines feel like friendly checkpoints Tiny worries grow into forests in my head Art museums feel like playgrounds I listen first, judge later, if ever",n,y,y,y,y
Stress slides off me like rain on glass Calendars and lists guide my every sunrise I collect perspectives the way others collect stamps I thrive when surrounded by lively conversations I’d rather make peace than score points,y,n,y,y,y
"Helping others paints colour into my day I process setbacks, then move forward Parties feel like home turf where I refuel I chase new experiences like constellations I finish tasks before they have time to worry me",y,n,y,y,y
"I speak blunt truths even if they cut Books on quantum poetry excite me Plans are suggestions, not iron gates Anxiety knots itself around my late‑night thoughts After social storms, I retreat into books",n,y,n,n,y
I lose track of time when ideas spark I breathe evenly through most tempests Abstract ideas glitter brighter than gold I’d rather make peace than score points Meeting new faces feels like opening surprise gifts,y,n,y,n,y
Small talk drains my battery to red I chase new experiences like constellations My desk is chaos where creativity blooms Helping others paints colour into my day Tiny worries grow into forests in my head,n,y,y,n,y
"After social storms, I retreat into books Tiny worries grow into forests in my head I collect perspectives the way others collect stamps Sarcasm is my native dialect Order calms me like deep breathing",n,y,n,y,y
Change is interesting— from a safe distance Being right matters more than being liked Spontaneity steers my daily map I catch storms of doubt over clear skies Crowds blur my thoughts; I prefer one deep voice,n,y,n,n,n
Stress slides off me like rain on glass My desk is chaos where creativity blooms I talk my ideas into existence with anyone nearby Gentle words soften the hardest debates Books on quantum poetry excite me,y,n,y,n,y
Competition tastes sweeter than compromise Formality suffocates my freeform workflow Mood swings arrive without invitation or warning Quiet corners are my favourite kingdoms I question every rule before following,n,y,n,n,y
Calendars and lists guide my every sunrise Parties feel like home turf where I refuel Change is interesting— from a safe distance My mood is a calm lake at dawn Gentle words soften the hardest debates,y,n,y,y,n
Worry rarely finds a foothold in my mind Debates are battles I aim to win Punctuality is my silent love language I chase new experiences like constellations Parties feel like home turf where I refuel,y,n,n,y,y
"Mood swings arrive without invitation or warning Plans are suggestions, not iron gates Competition tastes sweeter than compromise Books on quantum poetry excite me Long talks exhaust me faster than a night run",n,y,n,n,y
I talk my ideas into existence with anyone nearby Mood swings arrive without invitation or warning I chase new experiences like constellations Spontaneity steers my daily map I offer smiles as default greetings,y,y,y,n,y
I replay mistakes in my mind like scratched vinyl I offer smiles as default greetings Spontaneity steers my daily map Silence bores me; I chase the next social spark I collect perspectives the way others collect stamps,y,y,y,n,y
My mood is a calm lake at dawn I lose track of time when ideas spark Crowded rooms charge my spirit like electricity I speak blunt truths even if they cut I chase new experiences like constellations,y,n,n,n,y
Quiet corners are my favourite kingdoms Being right matters more than being liked Stress lingers even in calm rooms I collect perspectives the way others collect stamps Formality suffocates my freeform workflow,n,y,n,n,y
"Stress lingers even in calm rooms I rely on proven methods, not wild notions Competition tastes sweeter than compromise Quiet corners are my favourite kingdoms I finish tasks before they have time to worry me",n,y,n,y,n
"I finish tasks before they have time to worry me Crowded rooms charge my spirit like electricity I rely on proven methods, not wild notions Gentle words soften the hardest debates I process setbacks, then move forward",y,n,y,y,n
"I catch storms of doubt over clear skies Sarcasm is my native dialect I double‑check locks, lights, and lines of code Crowds blur my thoughts; I prefer one deep voice Fiction rarely appeals compared to manuals",n,y,n,y,n
"Mood swings arrive without invitation or warning Art museums feel like playgrounds Silence bores me; I chase the next social spark I double‑check locks, lights, and lines of code Competition tastes sweeter than compromise",y,y,n,y,y
Deadlines feel like friendly checkpoints Optimism anchors me against dark currents Kindness feels like common sense in motion Meeting new faces feels like opening surprise gifts I prefer facts over fantasies,y,n,y,y,n
Art museums feel like playgrounds I harvest energy from solitude and soft music I offer smiles as default greetings Mood swings arrive without invitation or warning I finish tasks before they have time to worry me,n,y,y,y,y
Parties feel like home turf where I refuel Mood swings arrive without invitation or warning Deadlines feel like friendly checkpoints Tradition steadies my steps like a familiar song Sarcasm is my native dialect,y,y,n,y,n
I speak blunt truths even if they cut I chase new experiences like constellations I catch storms of doubt over clear skies Calendars and lists guide my every sunrise Crowded rooms charge my spirit like electricity,y,y,n,y,y
"Books on quantum poetry excite me Crowds blur my thoughts; I prefer one deep voice I speak blunt truths even if they cut Plans are suggestions, not iron gates Tiny worries grow into forests in my head",n,y,n,n,y
Helping others paints colour into my day Anxiety knots itself around my late‑night thoughts Punctuality is my silent love language Long talks exhaust me faster than a night run Abstract ideas glitter brighter than gold,n,y,y,y,y
"Art museums feel like playgrounds Stress slides off me like rain on glass After social storms, I retreat into books Helping others paints colour into my day Deadlines feel like friendly checkpoints",n,n,y,y,y
Being right matters more than being liked Deadlines bend to my last‑minute miracles I harvest energy from solitude and soft music Art museums feel like playgrounds I breathe evenly through most tempests,n,n,n,n,y
"I harvest energy from solitude and soft music Fiction rarely appeals compared to manuals Competition tastes sweeter than compromise Mood swings arrive without invitation or warning Plans are suggestions, not iron gates",n,y,n,n,n
Parties feel like home turf where I refuel Change is interesting— from a safe distance Anxiety knots itself around my late‑night thoughts Sarcasm is my native dialect Spontaneity steers my daily map,y,y,n,n,n
I harvest energy from solitude and soft music Optimism anchors me against dark currents Change is interesting— from a safe distance I’d rather make peace than score points I lose track of time when ideas spark,n,n,y,n,n
Tiny worries grow into forests in my head I chase new experiences like constellations Crowded rooms charge my spirit like electricity Spontaneity steers my daily map I speak blunt truths even if they cut,y,y,n,n,y
I finish tasks before they have time to worry me I prefer facts over fantasies Kindness feels like common sense in motion Crowds blur my thoughts; I prefer one deep voice Mood swings arrive without invitation or warning,n,y,y,y,n
I speak blunt truths even if they cut Art museums feel like playgrounds Spontaneity steers my daily map I thrive when surrounded by lively conversations Tiny worries grow into forests in my head,y,y,n,n,y
Gentle words soften the hardest debates I finish tasks before they have time to worry me Stress slides off me like rain on glass I prefer facts over fantasies Crowded rooms charge my spirit like electricity,y,n,y,y,n
I prefer facts over fantasies I replay mistakes in my mind like scratched vinyl Crowds blur my thoughts; I prefer one deep voice Debates are battles I aim to win Formality suffocates my freeform workflow,n,y,n,n,n
Sarcasm is my native dialect Deadlines bend to my last‑minute miracles Change is interesting— from a safe distance Crowded rooms charge my spirit like electricity Optimism anchors me against dark currents,y,n,n,n,n
"I thrive when surrounded by lively conversations I rely on proven methods, not wild notions I replay mistakes in my mind like scratched vinyl I listen first, judge later, if ever Order calms me like deep breathing",y,y,y,y,n
Gentle words soften the hardest debates My desk is chaos where creativity blooms Fiction rarely appeals compared to manuals Quiet corners are my favourite kingdoms I replay mistakes in my mind like scratched vinyl,n,y,y,n,n
Calendars and lists guide my every sunrise I harvest energy from solitude and soft music Change is interesting— from a safe distance I replay mistakes in my mind like scratched vinyl I speak blunt truths even if they cut,n,y,n,y,n
"Kindness feels like common sense in motion My mood is a calm lake at dawn Deadlines bend to my last‑minute miracles I chase new experiences like constellations After social storms, I retreat into books",n,n,y,n,y
I harvest energy from solitude and soft music My desk is chaos where creativity blooms Helping others paints colour into my day Fiction rarely appeals compared to manuals Mood swings arrive without invitation or warning,n,y,y,n,n
I collect perspectives the way others collect stamps Gentle words soften the hardest debates Parties feel like home turf where I refuel Mood swings arrive without invitation or warning Order calms me like deep breathing,y,y,y,y,y
Order calms me like deep breathing I thrive when surrounded by lively conversations I replay mistakes in my mind like scratched vinyl Competition tastes sweeter than compromise I chase new experiences like constellations,y,y,n,y,y
Crowded rooms charge my spirit like electricity Formality suffocates my freeform workflow I catch storms of doubt over clear skies Competition tastes sweeter than compromise Tradition steadies my steps like a familiar song,y,y,n,n,n
"Being right matters more than being liked I catch storms of doubt over clear skies Fiction rarely appeals compared to manuals I harvest energy from solitude and soft music I double‑check locks, lights, and lines of code",n,y,n,y,n
Tiny worries grow into forests in my head I thrive when surrounded by lively conversations Order calms me like deep breathing I value honesty above fragile feelings I prefer facts over fantasies,y,y,n,y,n
"I process setbacks, then move forward Crowds blur my thoughts; I prefer one deep voice Formality suffocates my freeform workflow I’d rather make peace than score points Abstract ideas glitter brighter than gold",n,n,y,n,y
"Deadlines bend to my last‑minute miracles Books on quantum poetry excite me Being right matters more than being liked Worry rarely finds a foothold in my mind After social storms, I retreat into books",n,n,n,n,y
My desk is chaos where creativity blooms Sarcasm is my native dialect Parties feel like home turf where I refuel Tiny worries grow into forests in my head Fiction rarely appeals compared to manuals,y,y,n,n,n
"Kindness feels like common sense in motion I catch storms of doubt over clear skies Deadlines feel like friendly checkpoints Small talk drains my battery to red I rely on proven methods, not wild notions",n,y,y,y,n
"I double‑check locks, lights, and lines of code I process setbacks, then move forward Debates are battles I aim to win After social storms, I retreat into books I chase new experiences like constellations",n,n,n,y,y
"I collect perspectives the way others collect stamps Stress slides off me like rain on glass Meeting new faces feels like opening surprise gifts Calendars and lists guide my every sunrise I listen first, judge later, if ever",y,n,y,y,y
Tiny worries grow into forests in my head Spontaneity steers my daily map Books on quantum poetry excite me I harvest energy from solitude and soft music Being right matters more than being liked,n,y,n,n,y
Books on quantum poetry excite me I finish tasks before they have time to worry me I breathe evenly through most tempests Parties feel like home turf where I refuel Competition tastes sweeter than compromise,y,n,n,y,y
Mood swings arrive without invitation or warning Order calms me like deep breathing I prefer facts over fantasies Competition tastes sweeter than compromise I thrive when surrounded by lively conversations,y,y,n,y,n
Gentle words soften the hardest debates Books on quantum poetry excite me I replay mistakes in my mind like scratched vinyl I thrive when surrounded by lively conversations I lose track of time when ideas spark,y,y,y,n,y
Helping others paints colour into my day Silence bores me; I chase the next social spark Worry rarely finds a foothold in my mind Books on quantum poetry excite me Calendars and lists guide my every sunrise,y,n,y,y,y
I lose track of time when ideas spark Silence bores me; I chase the next social spark I chase new experiences like constellations Sarcasm is my native dialect My mood is a calm lake at dawn,y,n,n,n,y
"I process setbacks, then move forward Helping others paints colour into my day Crowds blur my thoughts; I prefer one deep voice I lose track of time when ideas spark Tradition steadies my steps like a familiar song",n,n,y,n,n
"Small talk drains my battery to red Deadlines bend to my last‑minute miracles Abstract ideas glitter brighter than gold Sarcasm is my native dialect I process setbacks, then move forward",n,n,n,n,y
"Tradition steadies my steps like a familiar song I value honesty above fragile feelings After social storms, I retreat into books Tiny worries grow into forests in my head Plans are suggestions, not iron gates",n,y,n,n,n
Debates are battles I aim to win Meeting new faces feels like opening surprise gifts Deadlines feel like friendly checkpoints I prefer facts over fantasies I breathe evenly through most tempests,y,n,n,y,n
Optimism anchors me against dark currents Meeting new faces feels like opening surprise gifts Fiction rarely appeals compared to manuals My desk is chaos where creativity blooms I value honesty above fragile feelings,y,n,n,n,n
"I catch storms of doubt over clear skies I double‑check locks, lights, and lines of code Art museums feel like playgrounds I listen first, judge later, if ever Parties feel like home turf where I refuel",y,y,y,y,y
